project,project_loc,unit,province,country,region,status,fuel_type,capacity,technology,start_year,owner,parent,lat,lng,url
Sapele II power station,,3-3,Delta,Nigeria,Africa,announced,natural gas,151.0,GT,2028,Ogorode Generation Co Ltd,Niger Delta Power Holding Co,5.926139,5.644983,https://www.gem.wiki/Sapele_II_power_station
Sapele power station,,1-GT11,Delta,Nigeria,Africa,mothballed,natural gas,75.0,GT,1981,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-GT12,Delta,Nigeria,Africa,mothballed,natural gas,75.0,GT,1981,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-GT13,Delta,Nigeria,Africa,mothballed,natural gas,75.0,GT,1981,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-GT14,Delta,Nigeria,Africa,mothballed,natural gas,75.0,GT,1981,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-ST1,Delta,Nigeria,Africa,operating,natural gas,120.0,ST,1980,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-ST2,Delta,Nigeria,Africa,operating,natural gas,120.0,ST,1980,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-ST3,Delta,Nigeria,Africa,operating,natural gas,120.0,ST,1980,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-ST4,Delta,Nigeria,Africa,mothballed,natural gas,120.0,ST,1980,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-ST5,Delta,Nigeria,Africa,mothballed,natural gas,120.0,ST,1980,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Sapele power station,,1-ST6,Delta,Nigeria,Africa,operating,natural gas,120.0,ST,1980,Sapele Power PLC,G-Eurafric,5.926139,5.644983,https://www.gem.wiki/Sapele_power_station
Supertek power station,,1,Kogi,Nigeria,Africa,announced,natural gas,100.0,GT,2030,Supertek Electric Ltd,Supertek Electric Ltd,7.534372258,6.65599545,https://www.gem.wiki/Supertek_power_station
Supertek power station,,2,Kogi,Nigeria,Africa,announced,natural gas,100.0,GT,2030,Supertek Electric Ltd,Supertek Electric Ltd,7.534372258,6.65599545,https://www.gem.wiki/Supertek_power_station
Supertek power station,,3,Kogi,Nigeria,Africa,announced,natural gas,100.0,GT,2030,Supertek Electric Ltd,Supertek Electric Ltd,7.534372258,6.65599545,https://www.gem.wiki/Supertek_power_station
