project,project_loc,unit,province,country,region,status,fuel_type,capacity,technology,start_year,owner,parent,lat,lng,url
Egbin power station,,1,Lagos,Nigeria,Africa,operating,natural gas,220.0,ST,1985,Egbin Power PLC,KEPCO Energy Resources Ltd [70.00%]; Bureau of Public Enterprises (Nigeria) [24.00%]; Ministry of Finance Incorporated (Nigeria) [6.00%],6.56371252,3.61508245,https://www.gem.wiki/Egbin_power_station
Egbin power station,,2,Lagos,Nigeria,Africa,operating,natural gas,220.0,ST,1985,Egbin Power PLC,KEPCO Energy Resources Ltd [70.00%]; Bureau of Public Enterprises (Nigeria) [24.00%]; Ministry of Finance Incorporated (Nigeria) [6.00%],6.56371252,3.61508245,https://www.gem.wiki/Egbin_power_station
Egbin power station,,3,Lagos,Nigeria,Africa,operating,natural gas,220.0,ST,1985,Egbin Power PLC,KEPCO Energy Resources Ltd [70.00%]; Bureau of Public Enterprises (Nigeria) [24.00%]; Ministry of Finance Incorporated (Nigeria) [6.00%],6.56371252,3.61508245,https://www.gem.wiki/Egbin_power_station
Egbin power station,,4,Lagos,Nigeria,Africa,operating,natural gas,220.0,ST,1985,Egbin Power PLC,KEPCO Energy Resources Ltd [70.00%]; Bureau of Public Enterprises (Nigeria) [24.00%]; Ministry of Finance Incorporated (Nigeria) [6.00%],6.56371252,3.61508245,https://www.gem.wiki/Egbin_power_station
Egbin power station,,5,Lagos,Nigeria,Africa,operating,natural gas,220.0,ST,1985,Egbin Power PLC,KEPCO Energy Resources Ltd [70.00%]; Bureau of Public Enterprises (Nigeria) [24.00%]; Ministry of Finance Incorporated (Nigeria) [6.00%],6.56371252,3.61508245,https://www.gem.wiki/Egbin_power_station
Egbin power station,,6,Lagos,Nigeria,Africa,operating,natural gas,220.0,ST,1985,Egbin Power PLC,KEPCO Energy Resources Ltd [70.00%]; Bureau of Public Enterprises (Nigeria) [24.00%]; Ministry of Finance Incorporated (Nigeria) [6.00%],6.56371252,3.61508245,https://www.gem.wiki/Egbin_power_station
Egbin power station,,B,Lagos,Nigeria,Africa,announced,liquefied natural gas,1800.0,GT,2025,Egbin Power PLC,KEPCO Energy Resources Ltd [70.00%]; Bureau of Public Enterprises (Nigeria) [24.00%]; Ministry of Finance Incorporated (Nigeria) [6.00%],6.56371252,3.61508245,https://www.gem.wiki/Egbin_power_station
Ekrokpe-Erkrejegbe power station,,1,Delta,Nigeria,Africa,cancelled,natural gas,200.0,CC,,Onose TBEA Energy,Onose TBEA Energy,5.517692,5.903853,https://www.gem.wiki/Ekrokpe-Erkrejegbe_power_station
Ekrokpe-Erkrejegbe power station,,2,Delta,Nigeria,Africa,cancelled,natural gas,200.0,CC,,Onose TBEA Energy,Onose TBEA Energy,5.517692,5.903853,https://www.gem.wiki/Ekrokpe-Erkrejegbe_power_station
Ethiope power station,,1,Edo,Nigeria,Africa,announced,natural gas,500.0,CC,2023,Ethiope Energy Ltd,Ethiope Energy Ltd,6.373441,5.646927,https://www.gem.wiki/Ethiope_power_station
Ethiope power station,,2,Edo,Nigeria,Africa,announced,natural gas,500.0,CC,2024,Ethiope Energy Ltd,Ethiope Energy Ltd,6.373441,5.646927,https://www.gem.wiki/Ethiope_power_station
Gbarain Gas Plant power station,,1,Bayelsa,Nigeria,Africa,operating,natural gas,126.0,GT,2016,Gbarain Generation Co Ltd,Niger Delta Power Holding Co,5.031067,6.301568,https://www.gem.wiki/Gbarain_Gas_Plant_power_station
Gbarain Gas Plant power station,,1-1,Bayelsa,Nigeria,Africa,announced,waste heat from natural gas,115.0,ST,2029,Gbarain Generation Co Ltd,Niger Delta Power Holding Co,5.031067,6.301568,https://www.gem.wiki/Gbarain_Gas_Plant_power_station
Gbarain Gas Plant power station,,2,Bayelsa,Nigeria,Africa,operating,natural gas,126.0,GT,2020,Gbarain Generation Co Ltd,Niger Delta Power Holding Co,5.031067,6.301568,https://www.gem.wiki/Gbarain_Gas_Plant_power_station
Geregu I power station,,1,Koji,Nigeria,Africa,operating,natural gas,145.0,GT,2007,Amperion Power Distribution Co Ltd,Ignite Investment and commodities Ltd [74.10%]; other [26.00%],7.469675,6.659126,https://www.gem.wiki/Geregu_I_power_station
Geregu I power station,,2,Koji,Nigeria,Africa,operating,natural gas,145.0,GT,2007,Amperion Power Distribution Co Ltd,Ignite Investment and commodities Ltd [74.10%]; other [26.00%],7.469675,6.659126,https://www.gem.wiki/Geregu_I_power_station
Geregu I power station,,2-1,Koji,Nigeria,Africa,announced,natural gas,138.0,GT,2029,Amperion Power Distribution Co Ltd,Ignite Investment and commodities Ltd [74.10%]; other [26.00%],7.469675,6.659126,https://www.gem.wiki/Geregu_I_power_station
Geregu I power station,,2-2,Koji,Nigeria,Africa,announced,natural gas,138.0,GT,2029,Amperion Power Distribution Co Ltd,Ignite Investment and commodities Ltd [74.10%]; other [26.00%],7.469675,6.659126,https://www.gem.wiki/Geregu_I_power_station
Geregu I power station,,2-3,Koji,Nigeria,Africa,announced,natural gas,138.0,GT,2029,Amperion Power Distribution Co Ltd,Ignite Investment and commodities Ltd [74.10%]; other [26.00%],7.469675,6.659126,https://www.gem.wiki/Geregu_I_power_station
Geregu I power station,,3,Koji,Nigeria,Africa,operating,natural gas,145.0,GT,2007,Amperion Power Distribution Co Ltd,Ignite Investment and commodities Ltd [74.10%]; other [26.00%],7.469675,6.659126,https://www.gem.wiki/Geregu_I_power_station
Geregu II power station,,1,Koji,Nigeria,Africa,operating,natural gas,169.0,GT,2013,Geregu Generation Co Ltd,Niger Delta Power Holding Co,7.471578,6.66025,https://www.gem.wiki/Geregu_II_power_station
Geregu II power station,,1-1,Koji,Nigeria,Africa,announced,natural gas,285.0,CC,2027,Geregu Generation Co Ltd,Niger Delta Power Holding Co,7.471578,6.66025,https://www.gem.wiki/Geregu_II_power_station
Geregu II power station,,1-2,Koji,Nigeria,Africa,announced,natural gas,444.0,GT,2030,Geregu Generation Co Ltd,Niger Delta Power Holding Co,7.471578,6.66025,https://www.gem.wiki/Geregu_II_power_station
Geregu II power station,,2,Koji,Nigeria,Africa,operating,natural gas,169.0,GT,2013,Geregu Generation Co Ltd,Niger Delta Power Holding Co,7.471578,6.66025,https://www.gem.wiki/Geregu_II_power_station
Geregu II power station,,3,Koji,Nigeria,Africa,operating,natural gas,169.0,GT,2013,Geregu Generation Co Ltd,Niger Delta Power Holding Co,7.471578,6.66025,https://www.gem.wiki/Geregu_II_power_station
Hudson power station,,1,Lagos,Nigeria,Africa,announced,natural gas,150.0,GT,2030,Hudson Power Station Ltd,Hudson Power Station Ltd,6.6636025,3.289491,https://www.gem.wiki/Hudson_power_station
Ibom power station,,1-1,Akwa Ibom,Nigeria,Africa,operating,natural gas,63.0,GT,2009,Ibom Power Co Ltd,Akwa Ibom Investment Corp Corp,4.56463545,7.56740892,https://www.gem.wiki/Ibom_power_station
Ibom power station,,1-2,Akwa Ibom,Nigeria,Africa,operating,natural gas,63.0,GT,2009,Ibom Power Co Ltd,Akwa Ibom Investment Corp Corp,4.56463545,7.56740892,https://www.gem.wiki/Ibom_power_station
Ibom power station,,1-3,Akwa Ibom,Nigeria,Africa,operating,natural gas,63.0,GT,2009,Ibom Power Co Ltd,Akwa Ibom Investment Corp Corp,4.56463545,7.56740892,https://www.gem.wiki/Ibom_power_station
Ibom power station,,2-1,Akwa Ibom,Nigeria,Africa,announced,natural gas,500.0,GT,,Ibom Power Co Ltd,Akwa Ibom Investment Corp Corp,4.56463545,7.56740892,https://www.gem.wiki/Ibom_power_station
Ihovbor power station,,1,Edo,Nigeria,Africa,operating,natural gas,113.0,GT,2013,Benin Generation Co Ltd,Niger Delta Power Holding Co,6.406782,5.682859,https://www.gem.wiki/Ihovbor_power_station
Ihovbor power station,,2,Edo,Nigeria,Africa,operating,natural gas,113.0,GT,2013,Benin Generation Co Ltd,Niger Delta Power Holding Co,6.406782,5.682859,https://www.gem.wiki/Ihovbor_power_station
Ihovbor power station,,2-1,Edo,Nigeria,Africa,announced,waste heat from natural gas,127.0,ST,2030,Benin Generation Co Ltd,Niger Delta Power Holding Co,6.406782,5.682859,https://www.gem.wiki/Ihovbor_power_station
