state,year,event_count,fatalities_best,fatalities_low,fatalities_high,state_based_events,non_state_events,one_sided_events
Unassigned / offshore,2022,1,0,0,40,1,0,0
Unassigned / offshore,2023,1,1,1,1,1,0,0
Unassigned / offshore,2024,1,3,0,3,1,0,0
Unassigned / offshore,2025,1,0,0,1,0,0,1
Yobe,2003,1,1,1,1,1,0,0
Yobe,2004,2,21,21,21,2,0,0
Yobe,2009,4,56,56,75,4,0,0
Yobe,2010,3,1,1,3,3,0,0
Yobe,2011,9,154,112,279,8,1,0
Yobe,2012,51,276,243,325,34,0,17
Yobe,2013,21,290,267,452,13,0,8
Yobe,2014,20,451,421,464,9,0,11
Yobe,2015,43,502,499,709,16,2,25
Yobe,2016,10,69,69,80,7,0,3
Yobe,2017,9,68,68,72,6,1,2
Yobe,2018,7,112,111,129,7,0,0
Yobe,2019,15,97,96,148,14,1,0
Yobe,2020,17,154,58,204,14,3,0
Yobe,2021,29,151,106,222,26,2,1
Yobe,2022,11,31,30,34,6,1,4
Yobe,2023,19,170,69,174,11,0,8
Yobe,2024,32,227,199,307,23,0,9
Yobe,2025,36,91,89,117,30,1,5
Zamfara,2001,1,2,2,2,0,1,0
Zamfara,2010,1,3,3,8,0,1,0
Zamfara,2011,1,7,7,24,0,1,0
Zamfara,2018,3,35,35,35,0,0,3
Zamfara,2019,1,7,7,7,0,0,1
Zamfara,2020,1,2,2,2,0,0,1
Zamfara,2021,3,21,21,25,0,0,3
Zamfara,2022,3,12,12,12,0,1,2
Zamfara,2024,3,120,120,120,0,3,0
Zamfara,2025,10,56,49,76,0,1,9
