cell_id,period,grid_lat,grid_lon,event_count,fatalities_best,fatalities_low,fatalities_high,first_year,latest_year,state_based_events,non_state_events,one_sided_events,source_states,best_source_precision,least_source_precision
ucdp-05deg-11.75-8.75,2016-2025,11.75,8.75,6,6,5,10,2016,2025,0,1,5,Kano,1,4
ucdp-05deg-11.75-9.25,2016-2025,11.75,9.25,1,0,0,3,2023,2023,0,0,1,Jigawa,1,1
ucdp-05deg-11.75-11.25,2016-2025,11.75,11.25,1,1,1,1,2025,2025,0,1,0,Yobe,3,3
ucdp-05deg-11.75-11.75,2016-2025,11.75,11.75,15,79,78,97,2018,2025,13,0,2,Yobe,1,3
ucdp-05deg-11.75-12.25,2016-2025,11.75,12.25,43,158,150,223,2016,2025,30,4,9,Borno; Yobe,1,5
ucdp-05deg-11.75-12.75,2016-2025,11.75,12.75,98,571,485,742,2016,2025,75,6,17,Borno,1,5
ucdp-05deg-11.75-13.25,2016-2025,11.75,13.25,414,1994,1867,2367,2016,2025,215,38,161,Borno,1,5
ucdp-05deg-11.75-13.75,2016-2025,11.75,13.75,151,859,685,1331,2016,2025,125,6,20,Borno,1,5
ucdp-05deg-11.75-14.25,2016-2025,11.75,14.25,136,759,676,1105,2016,2025,125,8,3,Borno,1,5
ucdp-05deg-12.25-3.75,2016-2025,12.25,3.75,2,17,11,19,2025,2025,1,0,1,Kebbi,1,2
ucdp-05deg-12.25-4.25,2016-2025,12.25,4.25,1,2,2,2,2025,2025,0,1,0,Kebbi,1,1
ucdp-05deg-12.25-6.25,2016-2025,12.25,6.25,2,14,14,14,2019,2022,0,0,2,Zamfara,1,4
ucdp-05deg-12.25-6.75,2016-2025,12.25,6.75,2,41,41,41,2024,2025,0,2,0,Zamfara,1,2
ucdp-05deg-12.25-8.75,2016-2025,12.25,8.75,1,1,1,1,2022,2022,0,1,0,Kano,3,3
ucdp-05deg-12.25-9.25,2016-2025,12.25,9.25,1,1,1,1,2022,2022,0,1,0,Jigawa,1,1
ucdp-05deg-12.25-9.75,2016-2025,12.25,9.75,3,27,21,34,2024,2025,0,3,0,Jigawa,1,4
ucdp-05deg-12.25-10.75,2016-2025,12.25,10.75,1,1,1,1,2025,2025,0,1,0,Bauchi,1,1
ucdp-05deg-12.25-11.25,2016-2025,12.25,11.25,3,15,15,17,2020,2020,2,1,0,Yobe,1,5
ucdp-05deg-12.25-11.75,2016-2025,12.25,11.75,19,103,67,119,2016,2025,14,0,5,Yobe,1,5
ucdp-05deg-12.25-12.25,2016-2025,12.25,12.25,8,239,217,311,2017,2025,6,0,2,Borno; Yobe,1,5
ucdp-05deg-12.25-12.75,2016-2025,12.25,12.75,63,296,286,419,2017,2025,45,7,11,Borno,1,5
ucdp-05deg-12.25-13.25,2016-2025,12.25,13.25,75,301,289,395,2016,2025,57,5,13,Borno,1,5
ucdp-05deg-12.25-13.75,2016-2025,12.25,13.75,149,1021,895,1630,2016,2025,122,12,15,Borno,1,5
ucdp-05deg-12.25-14.25,2016-2025,12.25,14.25,189,1328,1243,1608,2016,2025,170,1,18,Borno; Unassigned / offshore,1,5
ucdp-05deg-12.25-14.75,2016-2025,12.25,14.75,2,5,5,5,2017,2017,2,0,0,Borno,1,1
ucdp-05deg-12.75-3.75,2016-2025,12.75,3.75,1,1,1,1,2025,2025,1,0,0,Kebbi,1,1
ucdp-05deg-12.75-4.25,2016-2025,12.75,4.25,1,2,2,2,2025,2025,0,0,1,Kebbi,1,1
ucdp-05deg-12.75-4.75,2016-2025,12.75,4.75,1,6,0,6,2024,2024,0,0,1,Kebbi,2,2
ucdp-05deg-12.75-6.25,2016-2025,12.75,6.25,3,10,3,10,2021,2025,0,0,3,Zamfara,2,3
ucdp-05deg-12.75-6.75,2016-2025,12.75,6.75,7,125,125,145,2022,2025,0,2,5,Zamfara,1,3
ucdp-05deg-12.75-7.25,2016-2025,12.75,7.25,1,11,11,14,2020,2020,0,0,1,Katsina,1,1
ucdp-05deg-12.75-9.25,2016-2025,12.75,9.25,1,1,1,1,2022,2022,0,1,0,Jigawa,3,3
ucdp-05deg-12.75-9.75,2016-2025,12.75,9.75,1,1,1,1,2023,2023,0,1,0,Jigawa,3,3
ucdp-05deg-12.75-10.25,2016-2025,12.75,10.25,7,18,11,18,2019,2025,0,7,0,Jigawa,1,3
ucdp-05deg-12.75-10.75,2016-2025,12.75,10.75,2,1,1,11,2020,2023,1,0,1,Yobe,1,3
ucdp-05deg-12.75-11.25,2016-2025,12.75,11.25,4,9,8,9,2020,2024,2,0,2,Yobe,1,3
ucdp-05deg-12.75-11.75,2016-2025,12.75,11.75,23,196,92,227,2019,2024,15,2,6,Yobe,1,2
ucdp-05deg-12.75-12.25,2016-2025,12.75,12.25,12,116,114,122,2016,2025,7,1,4,Borno; Yobe,1,3
ucdp-05deg-12.75-12.75,2016-2025,12.75,12.75,41,330,327,435,2016,2025,33,2,6,Borno,1,5
ucdp-05deg-12.75-13.25,2016-2025,12.75,13.25,61,362,336,1163,2016,2025,46,2,13,Borno,1,5
ucdp-05deg-12.75-13.75,2016-2025,12.75,13.75,222,2163,1808,2480,2016,2025,183,24,15,Borno,1,5
ucdp-05deg-12.75-14.25,2016-2025,12.75,14.25,29,434,424,471,2019,2025,26,3,0,Borno,1,2
ucdp-05deg-13.25-4.25,2016-2025,13.25,4.25,1,4,4,4,2024,2024,0,1,0,Sokoto,3,3
ucdp-05deg-13.25-4.75,2016-2025,13.25,4.75,8,18,9,18,2025,2025,2,0,6,Sokoto,1,3
ucdp-05deg-13.25-5.25,2016-2025,13.25,5.25,6,38,38,40,2019,2025,2,1,3,Sokoto,2,4
ucdp-05deg-13.25-6.25,2016-2025,13.25,6.25,9,47,44,111,2021,2025,1,0,8,Sokoto,1,3
ucdp-05deg-13.25-6.75,2016-2025,13.25,6.75,3,17,17,17,2025,2025,0,0,3,Sokoto; Zamfara,1,2
ucdp-05deg-13.25-11.75,2016-2025,13.25,11.75,2,0,0,2,2021,2021,2,0,0,Yobe,1,3
ucdp-05deg-13.25-12.25,2016-2025,13.25,12.25,33,218,183,381,2016,2025,30,1,2,Borno; Yobe,1,2
ucdp-05deg-13.25-12.75,2016-2025,13.25,12.75,45,458,415,506,2016,2025,30,5,10,Borno,1,5
